mag,place,latitude,longitude,year
3.0,"3 km ESE of Hennessey, Oklahoma",36.0998,-97.8674,2018
3.1,"5 km ESE of Cleo Springs, Oklahoma",36.3858,-98.38600000000001,2018
3.1,"0 km SE of Wakita, Oklahoma",36.879,-97.9152,2018
3.0,"16 km SSE of Waynoka, Oklahoma",36.4566,-98.7897,2018
3.0,"5 km WNW of Lucien, Oklahoma",36.2856,-97.5158,2018
3.1,"17 km SSE of Waynoka, Oklahoma",36.4483,-98.77799999999999,2018
3.0,"13 km S of Wilson, Oklahoma",34.0395,-97.406,2018
3.0,"4 km E of Hennessey, Oklahoma",36.1019,-97.8459,2018
3.2,"15 km SSE of Waynoka, Oklahoma",36.4547,-98.8018,2018
3.1,"12 km NW of Pawnee, Oklahoma",36.4162,-96.9059,2018
3.2,"3 km NNE of Centrahoma, Oklahoma",34.6387,-96.3223,2018
3.1,"12 km S of Wilson, Oklahoma",34.053000000000004,-97.4342,2018
3.0,"4 km NNE of Centrahoma, Oklahoma",34.6437,-96.3232,2018
3.1,"3 km NNE of Centrahoma, Oklahoma",34.6358,-96.3272,2018
3.0,"4 km W of Bridge Creek, Oklahoma",35.233000000000004,-97.7888,2018
3.1,"4 km N of Wakita, Oklahoma",36.9198,-97.9274,2018
3.0,"0 km SE of Dibble, Oklahoma",35.0272,-97.62299999999999,2018
3.0,"10 km E of Kingfisher, Oklahoma",35.8532,-97.8183,2018
3.0,"11 km NE of Wakita, Oklahoma",36.9648,-97.8413,2018
3.3,"0 km SSW of Morrison, Oklahoma",36.2908,-97.0122,2018
3.0,"9 km NW of Pawnee, Oklahoma",36.4018,-96.8737,2018
3.3,"1 km W of Bridge Creek, Oklahoma",35.2355,-97.7523,2018
3.0,"0 km NNE of Coyle, Oklahoma",35.9631,-97.2321,2018
3.4,"12 km S of Wilson, Oklahoma",34.0524,-97.4131,2018
3.1,"0 km W of Chester, Oklahoma",36.2176,-98.9302,2018
3.6,"2 km SW of Wellston, Oklahoma",35.6779,-97.0834,2018
3.5,"5 km NE of Medford, Oklahoma",36.842,-97.6888,2018
3.3,"1 km WNW of Chester, Oklahoma",36.2204,-98.9368,2018
3.0,"0 km WNW of Chester, Oklahoma",36.2203,-98.9298,2018
3.4,"9 km WNW of Orlando, Oklahoma",36.1793,-97.4823,2018
3.0,"4 km ENE of Dibble, Oklahoma",35.0418,-97.5829,2018
3.3,"0 km N of Coyle, Oklahoma",35.9603,-97.2337,2018
3.0,"1 km S of Chester, Oklahoma",36.2051,-98.921,2018
3.0,"12 km S of Wilson, Oklahoma",34.0505,-97.4332,2018
3.0,"4 km NNE of Okeene, Oklahoma",36.1555,-98.2908,2018
3.1,"0 km NNW of Coyle, Oklahoma",35.9609,-97.2376,2018
3.0,"8 km W of Meridian, Oklahoma",35.8444,-97.3384,2018
3.0,"8 km SSW of Burlington, Oklahoma",36.8261,-98.4513,2018
3.3,Oklahoma,36.2153,-97.5688,2018
3.5,"17 km SE of Waynoka, Oklahoma",36.489000000000004,-98.7253,2018
3.5,"17 km SE of Waynoka, Oklahoma",36.4603,-98.7576,2018
3.2,"15 km SSE of Waynoka, Oklahoma",36.4571,-98.8042,2018
3.0,"9 km SSW of Washington, Oklahoma",34.9882,-97.5381,2018
3.0,"7 km NNE of Quinlan, Oklahoma",36.5158,-99.0066,2018
3.0,"9 km NE of Marshall, Oklahoma",36.2135,-97.5522,2018
3.4,"5 km NE of Medford, Oklahoma",36.8451,-97.6978,2018
3.0,"16 km SSE of Waynoka, Oklahoma",36.4561,-98.7891,2018
3.2,"4 km N of Breckinridge, Oklahoma",36.482,-97.7331,2018
3.4,"3 km ENE of Dibble, Oklahoma",35.0409,-97.5912,2018
3.2,"3 km SSW of Alva, Oklahoma",36.7774,-98.6821,2018
3.3,"5 km NE of Medford, Oklahoma",36.8475,-97.6964,2018
3.1,"5 km SE of Dacoma, Oklahoma",36.6324,-98.5139,2018
3.3,"17 km SSE of Waynoka, Oklahoma",36.4462,-98.7791,2018
3.0,"7 km SE of Meridian, Oklahoma",35.7956,-97.1937,2018
3.3,"6 km ENE of Edmond, Oklahoma",35.6707,-97.406,2018
3.2,"6 km W of Arcadia, Oklahoma",35.6711,-97.4003,2018
3.1,"5 km SSW of Langston, Oklahoma",35.8972,-97.2759,2018
3.0,"5 km SSW of Langston, Oklahoma",35.8955,-97.2745,2018
3.2,"4 km SW of Lambert, Oklahoma",36.6572,-98.46700000000001,2018
3.0,"4 km SW of Lambert, Oklahoma",36.6571,-98.4679,2018
3.1,"5 km E of Edmond, Oklahoma",35.655,-97.4134,2018
3.2,"17 km SE of Waynoka, Oklahoma",36.4543,-98.7663,2018
3.1,"5 km NE of Medford, Oklahoma",36.848,-97.6983,2018
3.4,"5 km ESE of Covington, Oklahoma",36.2977,-97.5297,2018
3.5,"6 km NNW of Meridian, Oklahoma",35.8906,-97.2822,2018
3.0,"10 km E of Dover, Oklahoma",35.9739,-97.7967,2018
3.1,"7 km E of Nescatunga, Oklahoma",36.7628,-98.0658,2018
3.2,"6 km NNW of Meridian, Oklahoma",35.8891,-97.2831,2018
3.1,"15 km W of Union City, Oklahoma",35.3761,-98.1118,2018
3.0,"4 km SE of Avard, Oklahoma",36.6684,-98.7615,2018
3.2,"5 km E of Hennessey, Oklahoma",36.1016,-97.8355,2018
3.8,"4 km W of Lucien, Oklahoma",36.2788,-97.5072,2018
3.1,"11 km WSW of Union City, Oklahoma",35.3674,-98.0687,2018
3.3,"10 km SSE of Marshall, Oklahoma",36.0677,-97.5723,2018
4.0,Oklahoma,36.0742,-97.5593,2018
3.1,"15 km W of Aline, Oklahoma",36.4909,-98.6218,2018
4.4,"8 km E of Nescatunga, Oklahoma",36.764,-98.06200000000001,2018
3.2,"5 km WNW of Lucien, Oklahoma",36.286,-97.5107,2018
3.1,"5 km WNW of Lucien, Oklahoma",36.286,-97.5091,2018
3.0,"6 km S of Perry, Oklahoma",36.2309,-97.2945,2018
3.1,"8 km W of Deer Creek, Oklahoma",36.817,-97.6114,2018
