RG,SITE_ID,SITE_EPA_ID,SITE_NAME,SITE_STRT_ADRS1,SITE_STRT_ADRS2,SITE_CITY_NAME,SITE_STATE,SITE_ZIP_CODE,SITE_CONG_DISTRICT,SITE_CNTY_NAME,SITE_FIPS_CODE,LATITUDE,LONGITUDE,ALT_AGREEMENT,NPL,FF,NON_NPL_STATUS,FULL_ADDRESS,COORDINATES,SITE_URL
4,400123,ALD000400123,ANNISTON PCB SITE (MONSANTO CO),702 Clydesdale Ave.,,ANNISTON,AL,36201,03,CALHOUN,1015.0,33.651111,-85.857778,Y,Not on the NPL,N,N,"702 Clydesdale Ave., ANNISTON, AL, 36201","(33.65375483695435, -85.85250486823897)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400123
4,400073,ALD001221902,CIBA-GEIGY CORP. (MCINTOSH PLANT),OFF HWY 43,,MCINTOSH,AL,36553,01,WASHINGTON,1129.0,31.279,-87.9955,N,Currently on the Final NPL,N,N,"OFF HWY 43, MCINTOSH, AL, 36553","(31.639019, -81.51762)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400073
4,400129,ALD004022448,"ALABAMA PLATING COMPANY, INC.",570 HIGHWAY 231 NORTH,,VINCENT,AL,35178,03,SHELBY,1117.0,33.399722,-86.405,N,Currently on the Final NPL,N,N,"570 HIGHWAY 231 NORTH, VINCENT, AL, 35178","(43.55180835, 3.945938777673077)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400129
4,404285,ALD007454085,T.H. AGRICULTURE & NUTRITION CO. (MONTGOMERY PLANT),3017 BIRMINGHAM HWY,,MONTGOMERY,AL,36108,02,MONTGOMERY,1101.0,32.3761,-86.3791,N,Currently on the Final NPL,N,N,"3017 BIRMINGHAM HWY, MONTGOMERY, AL, 36108","(32.36488353754012, -86.36805354734875)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0404285
4,404344,ALD041906173,INTERSTATE LEAD CO. (ILCO),"8551 Borden Ave. SE, ",,LEEDS,AL,35094,06,JEFFERSON,1073.0,33.539016,-86.53325799999998,N,Currently on the Final NPL,N,N,"8551 Borden Ave. SE, , LEEDS, AL, 35094","(33.53916263265306, -86.5346876122449)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0404344
4,404345,ALD980728703,PERDIDO GROUND WATER CONTAMINATION,COUNTY RD 47 S,,PERDIDO,AL,36562,01,BALDWIN,1003.0,31.0125,-87.625,N,Deleted from the Final NPL,N,N,"COUNTY RD 47 S, PERDIDO, AL, 36562","(31.017503, -87.63162)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0404345
10,1000128,AK4170024323,ADAK NAVAL AIR STATION,ADAK IS,,ADAK,AK,99546,00,,,51.8775,-176.6525,N,Currently on the Final NPL,Y,Y,"ADAK IS, ADAK, AK, 99546","(51.8735531079365, -176.633455069841)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=01000128
10,1000017,AKD004904215,ALASKA BATTERY ENTERPRISES,157 OLD RICHARDSON HIGHWAY,,FAIRBANKS,AK,99701,00,FAIRBANKS NORTH STAR,2090.0,64.8203,-147.7038,N,Deleted from the Final NPL,N,N,"157 OLD RICHARDSON HIGHWAY, FAIRBANKS, AK, 99701","(64.81949239914476, -147.70815201341597)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=01000017
10,1000073,AKD980978787,STANDARD STEEL & METALS SALVAGE YARD (USDOT),2400 RAILROAD AVENUE,,ANCHORAGE,AK,99501,00,ANCHORAGE,2020.0,61.2279,-149.8324,N,Deleted from the Final NPL,Y,Y,"2400 RAILROAD AVENUE, ANCHORAGE, AK, 99501","(61.22817390909091, -149.83675732323232)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=01000073
10,1000079,AKD980983241,ALASKA RAILROAD ANCHORAGE YARD,1ST AVENUE,,ANCHORAGE,AK,99501,01,ANCHORAGE,2020.0,61.225278,-149.877778,Y,Not on the NPL,N,N,"1ST AVENUE, ANCHORAGE, AK, 99501","(55.9105471, -159.1446447)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=01000079
