RG,SITE_ID,SITE_EPA_ID,SITE_NAME,SITE_STRT_ADRS1,SITE_STRT_ADRS2,SITE_CITY_NAME,SITE_STATE,SITE_ZIP_CODE,SITE_CONG_DISTRICT,SITE_CNTY_NAME,SITE_FIPS_CODE,LATITUDE,LONGITUDE,ALT_AGREEMENT,NPL,FF,NON_NPL_STATUS,FULL_ADDRESS,COORDINATES
4,406176,AL0000132662,FUSSY HILL DRUM DUMP,461 FUSSY HILL ROAD,,NEW MARKET,AL,35761,05,MADISON,1089.0,,,N,Not on the NPL,N,N,"461 FUSSY HILL ROAD, NEW MARKET, AL, 35761","(34.843856851295506, -86.42467197859389)"
4,406800,AL0000301747,JONES PROPERTY,595 GRADY STREET,,MONTGOMERY,AL,36108,,MONTGOMERY,1101.0,,,N,Not on the NPL,N,N,"595 GRADY STREET, MONTGOMERY, AL, 36108","(32.36915695918368, -86.31928473469388)"
4,406330,AL0001058056,CAPITOL CITY PLUME,Downtown Montgomery,,MONTGOMERY,AL,36104,07,MONTGOMERY,1101.0,,,N,Removed from Proposed NPL,N,N,"Downtown Montgomery, MONTGOMERY, AL, 36104","(32.3747253, -86.31246495527151)"
4,406478,AL0001401843,SIMS CHAPEL WOOD TREATER,COUNTY RD 35,,SIMS CHAPEL,AL,36553,01,WASHINGTON,1129.0,,,N,Not on the NPL,N,N,"COUNTY RD 35, SIMS CHAPEL, AL, 36553","(31.193754, -88.173334)"
4,406549,AL0001412063,MONTEVALLO PLUME,SHELBY COUNTY,,MONTEVALLO,AL,35115,07,SHELBY,1117.0,,,N,Not on the NPL,N,N,"SHELBY COUNTY, MONTEVALLO, AL, 35115","(33.11663487815802, -86.85684992008537)"
4,406688,AL0001695659,B&B MANUFACTURING,401 S. CAROLINA ST.,,MOBILE,AL,36602,,MOBILE,1097.0,,,N,Not on the NPL,N,N,"401 S. CAROLINA ST., MOBILE, AL, 36602","(30.668933, -88.046487)"
4,406669,AL0001908656,USA REDSTONE ARSENAL PENTABORANE CYLINDERS,REDSTONE ARSENAL,,HUNTSVILLE,AL,35898,,MADISON,1089.0,,,N,Not on the NPL,Y,N,"REDSTONE ARSENAL, HUNTSVILLE, AL, 35898","(34.6860037, -86.67197170092993)"
4,406676,AL0001909845,RED FOX FERTILIZER CO.,232 E. INEZ ROAD,,DOTHAN,AL,36301,,HOUSTON,1069.0,,,N,Not on the NPL,N,N,"232 E. INEZ ROAD, DOTHAN, AL, 36301","(31.17712633615353, -85.39836949672612)"
4,406675,AL0001909852,GREENVILLE FERTILIZER,100 LONG STREET,,GREENVILLE,AL,36037,,BUTLER,1013.0,,,N,Not on the NPL,N,N,"100 LONG STREET, GREENVILLE, AL, 36037","(40.69926087903226, -74.09123539112903)"
4,410417,ALD983169947,ROBINSON FOUNDRY,505 ROBINSON COURT,,ALEXANDER CITY,AL,35010,,TALLAPOOSA,1123.0,,,N,Not on the NPL,N,N,"505 ROBINSON COURT, ALEXANDER CITY, AL, 35010","(32.9466546556476, -85.98235793021082)"
